Date,Sunrise,Sunset
6/27/2009,04:26:32,19:30:38
6/28/2009,04:26:57,19:30:37
6/29/2009,04:27:23,19:30:33
6/30/2009,04:27:51,19:30:28
7/1/2009,04:28:20,19:30:21
7/2/2009,04:28:51,19:30:12
7/3/2009,04:29:23,19:30:00
7/4/2009,04:29:57,19:29:47
7/5/2009,04:30:32,19:29:32
7/6/2009,04:31:08,19:29:14
7/7/2009,04:31:46,19:28:55
7/8/2009,04:32:25,19:28:33
7/9/2009,04:33:05,19:28:10
7/10/2009,04:33:47,19:27:44
7/11/2009,04:34:29,19:27:17
7/12/2009,04:35:13,19:26:47
7/13/2009,04:35:58,19:26:16
7/14/2009,04:36:43,19:25:43
7/15/2009,04:37:30,19:25:07
7/16/2009,04:38:18,19:24:30
7/17/2009,04:39:06,19:23:51
7/18/2009,04:39:56,19:23:10
7/19/2009,04:40:46,19:22:27
7/20/2009,04:41:37,19:21:42
7/21/2009,04:42:28,19:20:55
7/22/2009,04:43:20,19:20:07
7/23/2009,04:44:13,19:19:17
7/24/2009,04:45:07,19:18:25
7/25/2009,04:46:01,19:17:31
7/26/2009,04:46:55,19:16:36
7/27/2009,04:47:51,19:15:39
7/28/2009,04:48:46,19:14:40
7/29/2009,04:49:42,19:13:40
7/30/2009,04:50:38,19:12:38
7/31/2009,04:51:35,19:11:35
8/1/2009,04:52:32,19:10:30
8/2/2009,04:53:29,19:09:24
8/3/2009,04:54:27,19:08:16
8/4/2009,04:55:25,19:07:07
8/5/2009,04:56:23,19:05:56
8/6/2009,04:57:21,19:04:44
8/7/2009,04:58:20,19:03:30
8/8/2009,04:59:18,19:02:16
8/9/2009,05:00:17,19:01:00
8/10/2009,05:01:16,18:59:42
8/11/2009,05:02:15,18:58:24
8/12/2009,05:03:14,18:57:04
8/13/2009,05:04:13,18:55:44
8/14/2009,05:05:12,18:54:22
8/15/2009,05:06:11,18:52:59
8/16/2009,05:07:11,18:51:35
8/17/2009,05:08:10,18:50:10
8/18/2009,05:09:09,18:48:44
8/19/2009,05:10:08,18:47:17
8/20/2009,05:11:07,18:45:49
8/21/2009,05:12:07,18:44:20
8/22/2009,05:13:06,18:42:50
8/23/2009,05:14:05,18:41:20
8/24/2009,05:15:04,18:39:48
8/25/2009,05:16:03,18:38:16
8/26/2009,05:17:02,18:36:43
8/27/2009,05:18:01,18:35:10
8/28/2009,05:19:00,18:33:36
8/29/2009,05:19:58,18:32:01
8/30/2009,05:20:57,18:30:25
8/31/2009,05:21:56,18:28:49
9/1/2009,05:22:55,18:27:13
9/2/2009,05:23:53,18:25:36
9/3/2009,05:24:52,18:23:58
9/4/2009,05:25:50,18:22:20
9/5/2009,05:26:49,18:20:41
9/6/2009,05:27:48,18:19:02
9/7/2009,05:28:46,18:17:23
9/8/2009,05:29:45,18:15:43
9/9/2009,05:30:43,18:14:03
9/10/2009,05:31:42,18:12:23
9/11/2009,05:32:40,18:10:43
9/12/2009,05:33:39,18:09:02
9/13/2009,05:34:37,18:07:21
9/14/2009,05:35:36,18:05:40
9/15/2009,05:36:35,18:03:58
9/16/2009,05:37:33,18:02:17
9/17/2009,05:38:32,18:00:35
9/18/2009,05:39:31,17:58:54
9/19/2009,05:40:30,17:57:12
9/20/2009,05:41:29,17:55:31
9/21/2009,05:42:28,17:53:49
9/22/2009,05:43:28,17:52:08
9/23/2009,05:44:27,17:50:26
9/24/2009,05:45:27,17:48:45
9/25/2009,05:46:26,17:47:04
9/26/2009,05:47:26,17:45:23
9/27/2009,05:48:26,17:43:42
9/28/2009,05:49:27,17:42:02
9/29/2009,05:50:27,17:40:21
9/30/2009,05:51:28,17:38:41
10/1/2009,05:52:29,17:37:02
10/2/2009,05:53:30,17:35:23
10/3/2009,05:54:31,17:33:44
10/4/2009,05:55:33,17:32:05
10/5/2009,05:56:35,17:30:27
10/6/2009,05:57:37,17:28:50
10/7/2009,05:58:39,17:27:13
10/8/2009,05:59:42,17:25:36
10/9/2009,06:00:45,17:24:00
10/10/2009,06:01:48,17:22:25
10/11/2009,06:02:52,17:20:51
10/12/2009,06:03:55,17:19:17
10/13/2009,06:05:00,17:17:43
10/14/2009,06:06:04,17:16:11
10/15/2009,06:07:09,17:14:39
10/16/2009,06:08:14,17:13:09
10/17/2009,06:09:20,17:11:39
10/18/2009,06:10:26,17:10:09
10/19/2009,06:11:32,17:08:41
10/20/2009,06:12:38,17:07:14
10/21/2009,06:13:45,17:05:48
10/22/2009,06:14:52,17:04:23
10/23/2009,06:16:00,17:02:59
10/24/2009,06:17:08,17:01:35
10/25/2009,06:18:16,17:00:14
10/26/2009,06:19:24,16:58:53
10/27/2009,06:20:33,16:57:33
10/28/2009,06:21:42,16:56:15
10/29/2009,06:22:51,16:54:58
10/30/2009,06:24:01,16:53:42
10/31/2009,06:25:10,16:52:28
11/1/2009,06:26:20,16:51:15
11/2/2009,06:27:31,16:50:04
11/3/2009,06:28:41,16:48:54
11/4/2009,06:29:52,16:47:45
11/5/2009,06:31:03,16:46:38
11/6/2009,06:32:13,16:45:33
11/7/2009,06:33:24,16:44:29
11/8/2009,06:34:36,16:43:27
11/9/2009,06:35:47,16:42:26
11/10/2009,06:36:58,16:41:28
11/11/2009,06:38:09,16:40:31
11/12/2009,06:39:20,16:39:35
11/13/2009,06:40:31,16:38:42
11/14/2009,06:41:42,16:37:50
11/15/2009,06:42:53,16:37:01
11/16/2009,06:44:03,16:36:13
11/17/2009,06:45:13,16:35:27
11/18/2009,06:46:23,16:34:43
11/19/2009,06:47:33,16:34:01
11/20/2009,06:48:42,16:33:21
11/21/2009,06:49:51,16:32:44
11/22/2009,06:50:59,16:32:08
11/23/2009,06:52:07,16:31:34
11/24/2009,06:53:14,16:31:03
11/25/2009,06:54:21,16:30:34
11/26/2009,06:55:27,16:30:06
11/27/2009,06:56:32,16:29:41
11/28/2009,06:57:37,16:29:19
11/29/2009,06:58:40,16:28:58
11/30/2009,06:59:43,16:28:40
12/1/2009,07:00:44,16:28:24
12/2/2009,07:01:45,16:28:10
12/3/2009,07:02:45,16:27:59
12/4/2009,07:03:43,16:27:50
12/5/2009,07:04:40,16:27:43
12/6/2009,07:05:37,16:27:38
12/7/2009,07:06:31,16:27:36
12/8/2009,07:07:25,16:27:36
12/9/2009,07:08:17,16:27:39
12/10/2009,07:09:07,16:27:43
12/11/2009,07:09:56,16:27:50
12/12/2009,07:10:44,16:27:59
12/13/2009,07:11:29,16:28:11
12/14/2009,07:12:14,16:28:25
12/15/2009,07:12:56,16:28:41
12/16/2009,07:13:37,16:28:59
12/17/2009,07:14:16,16:29:19
12/18/2009,07:14:53,16:29:42
12/19/2009,07:15:28,16:30:07
12/20/2009,07:16:01,16:30:34
12/21/2009,07:16:32,16:31:03
12/22/2009,07:17:01,16:31:34
12/23/2009,07:17:28,16:32:07
12/24/2009,07:17:54,16:32:42
12/25/2009,07:18:17,16:33:19
12/26/2009,07:18:37,16:33:58
12/27/2009,07:18:56,16:34:39
12/28/2009,07:19:13,16:35:22
12/29/2009,07:19:27,16:36:07
12/30/2009,07:19:39,16:36:53
12/31/2009,07:19:49,16:37:41
1/1/2010,07:19:57,16:38:31
1/2/2010,07:20:02,16:39:22
1/3/2010,07:20:05,16:40:15
1/4/2010,07:20:06,16:41:09
1/5/2010,07:20:05,16:42:05
1/6/2010,07:20:01,16:43:02
1/7/2010,07:19:56,16:44:00
1/8/2010,07:19:47,16:45:00
1/9/2010,07:19:37,16:46:01
1/10/2010,07:19:24,16:47:03
1/11/2010,07:19:10,16:48:06
1/12/2010,07:18:52,16:49:11
1/13/2010,07:18:33,16:50:16
1/14/2010,07:18:12,16:51:22
1/15/2010,07:17:48,16:52:29
1/16/2010,07:17:22,16:53:37
1/17/2010,07:16:54,16:54:45
1/18/2010,07:16:24,16:55:55
1/19/2010,07:15:51,16:57:05
1/20/2010,07:15:17,16:58:15
1/21/2010,07:14:41,16:59:27
1/22/2010,07:14:02,17:00:38
1/23/2010,07:13:22,17:01:50
1/24/2010,07:12:39,17:03:03
1/25/2010,07:11:55,17:04:16
1/26/2010,07:11:08,17:05:29
1/27/2010,07:10:20,17:06:42
1/28/2010,07:09:30,17:07:56
1/29/2010,07:08:38,17:09:10
1/30/2010,07:07:44,17:10:24
1/31/2010,07:06:49,17:11:38
2/1/2010,07:05:52,17:12:53
2/2/2010,07:04:53,17:14:07
2/3/2010,07:03:52,17:15:21
2/4/2010,07:02:50,17:16:35
2/5/2010,07:01:46,17:17:50
2/6/2010,07:00:40,17:19:04
2/7/2010,06:59:34,17:20:18
2/8/2010,06:58:25,17:21:32
2/9/2010,06:57:15,17:22:46
2/10/2010,06:56:04,17:23:59
2/11/2010,06:54:51,17:25:13
2/12/2010,06:53:37,17:26:26
2/13/2010,06:52:22,17:27:39
2/14/2010,06:51:05,17:28:52
2/15/2010,06:49:47,17:30:04
2/16/2010,06:48:28,17:31:17
2/17/2010,06:47:08,17:32:29
2/18/2010,06:45:47,17:33:40
2/19/2010,06:44:24,17:34:52
2/20/2010,06:43:01,17:36:03
2/21/2010,06:41:36,17:37:14
2/22/2010,06:40:10,17:38:24
2/23/2010,06:38:44,17:39:35
2/24/2010,06:37:17,17:40:45
2/25/2010,06:35:48,17:41:54
2/26/2010,06:34:19,17:43:03
2/27/2010,06:32:49,17:44:12
2/28/2010,06:31:18,17:45:21
3/1/2010,06:29:47,17:46:30
3/2/2010,06:28:15,17:47:38
3/3/2010,06:26:42,17:48:45
3/4/2010,06:25:08,17:49:53
3/5/2010,06:23:34,17:51:00
3/6/2010,06:22:00,17:52:07
3/7/2010,06:20:24,17:53:14
3/8/2010,06:18:49,17:54:20
3/9/2010,06:17:13,17:55:27
3/10/2010,06:15:36,17:56:32
3/11/2010,06:13:59,17:57:38
3/12/2010,06:12:21,17:58:44
3/13/2010,06:10:44,17:59:49
3/14/2010,06:09:06,18:00:54
3/15/2010,06:07:27,18:01:59
3/16/2010,06:05:49,18:03:03
3/17/2010,06:04:10,18:04:08
3/18/2010,06:02:31,18:05:12
3/19/2010,06:00:52,18:06:16
3/20/2010,05:59:12,18:07:20
3/21/2010,05:57:33,18:08:24
3/22/2010,05:55:53,18:09:28
3/23/2010,05:54:14,18:10:31
3/24/2010,05:52:34,18:11:35
3/25/2010,05:50:55,18:12:38
3/26/2010,05:49:15,18:13:42
3/27/2010,05:47:36,18:14:45
3/28/2010,05:45:57,18:15:48
3/29/2010,05:44:17,18:16:51
3/30/2010,05:42:38,18:17:54
3/31/2010,05:41:00,18:18:57
4/1/2010,05:39:21,18:20:00
4/2/2010,05:37:43,18:21:03
4/3/2010,05:36:05,18:22:06
4/4/2010,05:34:27,18:23:09
4/5/2010,05:32:50,18:24:12
4/6/2010,05:31:13,18:25:15
4/7/2010,05:29:37,18:26:17
4/8/2010,05:28:01,18:27:20
4/9/2010,05:26:25,18:28:23
4/10/2010,05:24:50,18:29:26
4/11/2010,05:23:15,18:30:29
4/12/2010,05:21:41,18:31:32
4/13/2010,05:20:08,18:32:35
4/14/2010,05:18:35,18:33:38
4/15/2010,05:17:03,18:34:41
4/16/2010,05:15:32,18:35:44
4/17/2010,05:14:01,18:36:47
4/18/2010,05:12:31,18:37:50
4/19/2010,05:11:02,18:38:53
4/20/2010,05:09:33,18:39:56
4/21/2010,05:08:06,18:40:59
4/22/2010,05:06:39,18:42:02
4/23/2010,05:05:13,18:43:05
4/24/2010,05:03:49,18:44:08
4/25/2010,05:02:25,18:45:11
4/26/2010,05:01:02,18:46:14
4/27/2010,04:59:40,18:47:17
4/28/2010,04:58:19,18:48:19
4/29/2010,04:57:00,18:49:22
4/30/2010,04:55:41,18:50:25
5/1/2010,04:54:24,18:51:27
5/2/2010,04:53:08,18:52:29
5/3/2010,04:51:53,18:53:31
5/4/2010,04:50:39,18:54:33
5/5/2010,04:49:27,18:55:35
5/6/2010,04:48:16,18:56:37
5/7/2010,04:47:06,18:57:38
5/8/2010,04:45:58,18:58:39
5/9/2010,04:44:51,18:59:40
5/10/2010,04:43:45,19:00:40
5/11/2010,04:42:41,19:01:40
5/12/2010,04:41:39,19:02:40
5/13/2010,04:40:38,19:03:39
5/14/2010,04:39:39,19:04:38
5/15/2010,04:38:41,19:05:37
5/16/2010,04:37:45,19:06:34
5/17/2010,04:36:50,19:07:32
5/18/2010,04:35:57,19:08:28
5/19/2010,04:35:06,19:09:25
5/20/2010,04:34:17,19:10:20
5/21/2010,04:33:29,19:11:15
5/22/2010,04:32:43,19:12:09
5/23/2010,04:31:59,19:13:02
5/24/2010,04:31:17,19:13:54
5/25/2010,04:30:36,19:14:46
5/26/2010,04:29:58,19:15:37
5/27/2010,04:29:21,19:16:26
5/28/2010,04:28:46,19:17:15
5/29/2010,04:28:13,19:18:03
5/30/2010,04:27:42,19:18:49
5/31/2010,04:27:13,19:19:35
6/1/2010,04:26:46,19:20:19
6/2/2010,04:26:21,19:21:02
6/3/2010,04:25:57,19:21:44
6/4/2010,04:25:36,19:22:25
6/5/2010,04:25:17,19:23:04
6/6/2010,04:25:00,19:23:42
6/7/2010,04:24:44,19:24:18
6/8/2010,04:24:31,19:24:53
6/9/2010,04:24:20,19:25:27
6/10/2010,04:24:11,19:25:59
6/11/2010,04:24:03,19:26:29
6/12/2010,04:23:58,19:26:58
6/13/2010,04:23:55,19:27:26
6/14/2010,04:23:53,19:27:51
6/15/2010,04:23:54,19:28:15
6/16/2010,04:23:56,19:28:37
6/17/2010,04:24:01,19:28:57
6/18/2010,04:24:07,19:29:16
6/19/2010,04:24:15,19:29:33
6/20/2010,04:24:26,19:29:47
6/21/2010,04:24:38,19:30:00
6/22/2010,04:24:51,19:30:11
6/23/2010,04:25:07,19:30:21
6/24/2010,04:25:24,19:30:28
6/25/2010,04:25:43,19:30:33
6/26/2010,04:26:04,19:30:36
6/27/2010,04:26:27,19:30:38
6/28/2010,04:26:51,19:30:37
6/29/2010,04:27:17,19:30:34
6/30/2010,04:27:44,19:30:29
7/1/2010,04:28:13,19:30:23
7/2/2010,04:28:44,19:30:14
7/3/2010,04:29:16,19:30:03
7/4/2010,04:29:49,19:29:50
7/5/2010,04:30:24,19:29:35
7/6/2010,04:31:00,19:29:18
7/7/2010,04:31:37,19:28:59
7/8/2010,04:32:16,19:28:39
7/9/2010,04:32:56,19:28:16
7/10/2010,04:33:37,19:27:51
7/11/2010,04:34:19,19:27:24
7/12/2010,04:35:03,19:26:55
7/13/2010,04:35:47,19:26:24
7/14/2010,04:36:33,19:25:51
7/15/2010,04:37:19,19:25:16
7/16/2010,04:38:07,19:24:39
7/17/2010,04:38:55,19:24:00
7/18/2010,04:39:44,19:23:20
7/19/2010,04:40:34,19:22:37
7/20/2010,04:41:24,19:21:53
7/21/2010,04:42:16,19:21:07
7/22/2010,04:43:08,19:20:19
7/23/2010,04:44:01,19:19:29
7/24/2010,04:44:54,19:18:38
7/25/2010,04:45:48,19:17:44
7/26/2010,04:46:42,19:16:50
7/27/2010,04:47:37,19:15:53
7/28/2010,04:48:33,19:14:55
7/29/2010,04:49:29,19:13:55
7/30/2010,04:50:25,19:12:53
7/31/2010,04:51:22,19:11:50
8/1/2010,04:52:19,19:10:46
8/2/2010,04:53:16,19:09:40
8/3/2010,04:54:13,19:08:32
8/4/2010,04:55:11,19:07:23
8/5/2010,04:56:09,19:06:13
8/6/2010,04:57:07,19:05:01
8/7/2010,04:58:06,19:03:48
8/8/2010,04:59:04,19:02:34
8/9/2010,05:00:03,19:01:18
8/10/2010,05:01:02,19:00:01
8/11/2010,05:02:01,18:58:43
8/12/2010,05:03:00,18:57:24
8/13/2010,05:03:59,18:56:03
8/14/2010,05:04:58,18:54:41
8/15/2010,05:05:57,18:53:19
8/16/2010,05:06:56,18:51:55
8/17/2010,05:07:56,18:50:30
8/18/2010,05:08:55,18:49:04
8/19/2010,05:09:54,18:47:38
8/20/2010,05:10:53,18:46:10
8/21/2010,05:11:52,18:44:41
8/22/2010,05:12:52,18:43:12
8/23/2010,05:13:51,18:41:41
8/24/2010,05:14:50,18:40:10
8/25/2010,05:15:49,18:38:38
8/26/2010,05:16:48,18:37:06
8/27/2010,05:17:47,18:35:32
8/28/2010,05:18:46,18:33:58
8/29/2010,05:19:44,18:32:24
8/30/2010,05:20:43,18:30:48
8/31/2010,05:21:42,18:29:12
9/1/2010,05:22:41,18:27:36
9/2/2010,05:23:39,18:25:59
9/3/2010,05:24:38,18:24:22
9/4/2010,05:25:36,18:22:44
9/5/2010,05:26:35,18:21:05
9/6/2010,05:27:34,18:19:26
9/7/2010,05:28:32,18:17:47
9/8/2010,05:29:31,18:16:07
9/9/2010,05:30:29,18:14:28
9/10/2010,05:31:28,18:12:47
9/11/2010,05:32:26,18:11:07
9/12/2010,05:33:25,18:09:26
9/13/2010,05:34:23,18:07:45
9/14/2010,05:35:22,18:06:04
9/15/2010,05:36:21,18:04:23
9/16/2010,05:37:19,18:02:42
9/17/2010,05:38:18,18:01:00
9/18/2010,05:39:17,17:59:19
9/19/2010,05:40:16,17:57:37
9/20/2010,05:41:15,17:55:55
9/21/2010,05:42:14,17:54:14
9/22/2010,05:43:13,17:52:32
9/23/2010,05:44:13,17:50:51
9/24/2010,05:45:12,17:49:10
9/25/2010,05:46:12,17:47:28
9/26/2010,05:47:12,17:45:47
9/27/2010,05:48:12,17:44:07
9/28/2010,05:49:12,17:42:26
9/29/2010,05:50:13,17:40:46
9/30/2010,05:51:13,17:39:06
10/1/2010,05:52:14,17:37:26
10/2/2010,05:53:15,17:35:47
10/3/2010,05:54:16,17:34:08
10/4/2010,05:55:18,17:32:29
10/5/2010,05:56:20,17:30:51
10/6/2010,05:57:22,17:29:13
10/7/2010,05:58:24,17:27:36
10/8/2010,05:59:27,17:26:00
10/9/2010,06:00:29,17:24:24
10/10/2010,06:01:33,17:22:48
10/11/2010,06:02:36,17:21:13
10/12/2010,06:03:40,17:19:39
10/13/2010,06:04:44,17:18:06
10/14/2010,06:05:49,17:16:33
10/15/2010,06:06:53,17:15:02
10/16/2010,06:07:58,17:13:31
10/17/2010,06:09:04,17:12:00
10/18/2010,06:10:10,17:10:31
10/19/2010,06:11:16,17:09:03
10/20/2010,06:12:22,17:07:35
10/21/2010,06:13:29,17:06:09
10/22/2010,06:14:36,17:04:43
10/23/2010,06:15:43,17:03:19
10/24/2010,06:16:51,17:01:56
10/25/2010,06:17:59,17:00:33
10/26/2010,06:19:07,16:59:12
10/27/2010,06:20:16,16:57:53
10/28/2010,06:21:25,16:56:34
10/29/2010,06:22:34,16:55:17
10/30/2010,06:23:44,16:54:01
10/31/2010,06:24:53,16:52:46
11/1/2010,06:26:03,16:51:33
11/2/2010,06:27:14,16:50:21
11/3/2010,06:28:24,16:49:11
11/4/2010,06:29:35,16:48:02
11/5/2010,06:30:45,16:46:54
11/6/2010,06:31:56,16:45:49
11/7/2010,06:33:07,16:44:44
11/8/2010,06:34:18,16:43:42
11/9/2010,06:35:29,16:42:41
11/10/2010,06:36:40,16:41:42
11/11/2010,06:37:51,16:40:44
11/12/2010,06:39:03,16:39:49
11/13/2010,06:40:14,16:38:55
11/14/2010,06:41:24,16:38:03
11/15/2010,06:42:35,16:37:13
11/16/2010,06:43:46,16:36:24
11/17/2010,06:44:56,16:35:38
11/18/2010,06:46:06,16:34:54
11/19/2010,06:47:16,16:34:11
11/20/2010,06:48:25,16:33:31
11/21/2010,06:49:34,16:32:53
11/22/2010,06:50:43,16:32:17
11/23/2010,06:51:51,16:31:42
11/24/2010,06:52:58,16:31:10
11/25/2010,06:54:05,16:30:41
11/26/2010,06:55:11,16:30:13
11/27/2010,06:56:16,16:29:47
11/28/2010,06:57:21,16:29:24
11/29/2010,06:58:24,16:29:03
11/30/2010,06:59:27,16:28:44
12/1/2010,07:00:29,16:28:28
12/2/2010,07:01:30,16:28:14
12/3/2010,07:02:30,16:28:02
12/4/2010,07:03:29,16:27:52
12/5/2010,07:04:26,16:27:44
12/6/2010,07:05:23,16:27:39
12/7/2010,07:06:18,16:27:37
12/8/2010,07:07:12,16:27:36
12/9/2010,07:08:04,16:27:38
12/10/2010,07:08:55,16:27:42
12/11/2010,07:09:44,16:27:48
12/12/2010,07:10:32,16:27:57
12/13/2010,07:11:18,16:28:08
12/14/2010,07:12:03,16:28:21
12/15/2010,07:12:46,16:28:37
12/16/2010,07:13:27,16:28:54
12/17/2010,07:14:06,16:29:14
12/18/2010,07:14:43,16:29:37
12/19/2010,07:15:19,16:30:01
12/20/2010,07:15:53,16:30:27
12/21/2010,07:16:24,16:30:56
12/22/2010,07:16:54,16:31:26
12/23/2010,07:17:22,16:31:59
12/24/2010,07:17:47,16:32:34
12/25/2010,07:18:11,16:33:10
12/26/2010,07:18:32,16:33:49
12/27/2010,07:18:51,16:34:29
12/28/2010,07:19:08,16:35:12
12/29/2010,07:19:23,16:35:56
12/30/2010,07:19:36,16:36:42
12/31/2010,07:19:47,16:37:29
1/1/2011,07:19:55,16:38:19
1/2/2011,07:20:01,16:39:09
1/3/2011,07:20:05,16:40:02
1/4/2011,07:20:06,16:40:56
1/5/2011,07:20:05,16:41:51
